ID,Age,Sex,Date,HaveYou,WouldYou,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Count_same_sex,Count_other_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Partners_male_noadult,Partners_female_noadult,Count_same_sex_noadult,Count_other_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult
673,11,F,16-Jan,No,Unsure,Public,Sandy Bay,ES-ES,Yes,2012,12,1991,2,17,133,3,3,0,0,1,2,2,1,0,0,0,3,1,2,2,1,0,0,0,3
443,7,M,16-Jan,Yes,No,Kinder,Camponado/Campolancho,ES-ES,Yes,2014,3,1994,3,4,118,5,5,0,0,5,0,5,0,0,0,0,5,5,0,5,0,0,0,0,5
982,7,F,16-Jan,Yes,Yes,Methodist,Countryside,ES-ES,Yes,2008,NA,1983,7,27,187,8,8,0,0,3,5,5,3,0,0,0,8,3,5,5,3,0,0,0,8
452,9,F,16-Jan,Yes,No,Public,Camponado/Campolancho,EN,No,NA,NA,1995,10,30,339,6,6,0,0,1,5,5,1,0,0,0,6,1,5,5,1,0,0,0,6
693,9,M,16-Jan,Yes,Yes,Public,Sandy Bay,EN,No,NA,NA,1991,6,28,391,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2
893,7,M,16-Jan,NoOpportunity,Yes,Methodist,Sandy Bay,ES-ES,Yes,2020,NA,1993,10,5,43,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
702,12,F,16-Jan,Yes,Yes,Public,Cola de Mica/Lozano,ES-ES,Yes,2008,11,1993,5,20,182,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,10,F,16-Jan,Yes,Yes,Methodist,Sandy Bay,ES-ES,Yes,2008,5,1982,7,4,188,6,6,0,0,0,6,6,0,0,0,0,6,0,6,6,0,0,0,0,6
709,7,M,16-Jan,Yes,Yes,Public,The Point,ES-ES,Yes,1990,NA,1974,8,2,403,6,6,0,0,6,0,6,0,0,0,0,6,6,0,6,0,0,0,0,6
721,8,M,17-Jan,No,Yes,Public,The Point,ES-ES,Yes,2005,5,1978,5,27,224,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
