ID,Age,Sex,Date,HaveYou,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult
696,11,F,13-Jan,NoOpportunity,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1975,12,2,577,-1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
419,6,M,15-Jan,Yes,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,-0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333
964,12,M,15-Jan,NoOpportunity,Yes,1,Public,The Point,ES-ES,Yes,2010,4,165,1985,10,24,165,1.4,3.3,1.816590212,1.8,1.7,1.303840481,5,5,0,0,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2
929,12,M,15-Jan,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1.414213562,1,2,1.414213562,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
892,11,F,15-Jan,Yes,Yes,1,Public,Airport/Jerusalem,ES-ES,Yes,2001,NA,271,1994,3,8,271,0,1,1,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0
408,10,M,15-Jan,No,No,0,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,-0.5,0.5,0.7071067812,0.5,0.5,0.7071067812,2,2,0,0,2,0,1,2,0,1,0,2,2,0,0,1,1,2,0,1,2,0,1,0,2,2,0,0,1,1
407,13,F,15-Jan,No,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
409,8,F,15-Jan,Yes,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,3,9,3,3,9,3,3,3,0,0,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1
967,7,F,15-Jan,Yes,Yes,1,Methodist,Jericho,ES-ES,Yes,2016,4,93,1993,3,16,93,-3,0,0,3,0,0,2,1,1,0.5,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1,1,0,1,0,1,0,0,1,1,0,0,1,1
968,10,M,15-Jan,Yes,Yes,1,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,163,1990,10,30,163,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
